@id,@lon,@lat,name,opening_hours,website,addr:street
1672433522,2.2509660,48.7689769,MILL Affaires,,,
1673338673,2.2593293,48.8422929,Nastasia,,,
1681555578,2.3495210,48.8436278,V.O. Boutik,Tu-Sa 13:00-20:30  Su PH 15:00-20:00,,
1681555579,2.3495487,48.8435295,Diwali,Mo-Su 10:30-19:45,,
1696573900,2.2273020,48.7868616,Falbala,,,Galerie du Patio
1696573950,2.2270793,48.7868422,Anaïs B,,,Galerie du Patio
1699161352,2.3400970,48.8717448,De Fursac,,https://www.defursac.fr/,Rue de Richelieu
1702570595,2.3494123,48.8434710,Accessorie's,,,
1702570604,2.3494004,48.8435263,L'Atelier,,,
1728936578,2.2477197,48.8973539,Camaïeu,Mo-Sa 09:30-19:00,,
1728952863,2.2480501,48.8969438,Urban Mood,Mo-Sa 10:00-19:00,,
1729160208,2.2484510,48.8964461,Katia,,,
1729160229,2.2486850,48.8961556,Comptoir des Parisiennes,Mo-Su 10:00-19:00,,
1744841770,2.4834223,48.8370415,Topolino,,,
1763282433,2.2643033,48.8003128,Les P'tits Loups,,,
1765475925,2.4210139,48.8138654,Jo Bosso,,,
1777872489,2.1827856,48.8777072,Jacadi,,,
1780810888,2.1822156,48.8776991,Sergent Major,,,
1782326546,2.2586822,48.9893995,Ronde et Chic,,,
1785271569,2.3759799,48.8532287,Petite Mendigote,,,
1801535568,2.3227943,48.8428520,Celio,,,
1801601957,2.3222812,48.8429486,La Bagagerie,,,
1801601960,2.3221189,48.8428339,Promod,,,
1801601966,2.3224904,48.8428295,Naf Naf,,,
1803875300,2.3231403,48.8433835,C&A,,,
1821668288,2.3325274,48.8762369,Pronuptia,,,
1823551363,2.3285739,48.8812812,Café Coton,Mo-Sa 10:00-14:15 15:00-19:30,,
1824369406,2.4719720,48.8061397,,,,
1824376872,2.1819484,48.8780894,Daniel Hechter,,,
1824509095,2.3286475,48.8745991,Citadium,Mo-Fr 10:00-20:00; Sa 10:00-20:30,,
1827138880,2.3400452,48.8762595,Cadoceur,,,
1827138898,2.3396808,48.8763363,Na Na,,,
1827138899,2.3397727,48.8765165,Nana,,,
1827903169,2.4086902,48.7641437,Tati,,,
1828600822,2.3308851,48.8727804,Uniqlo,Mo-Sa 10:00-20:00,www.uniqlo.fr,Rue Scribe
1833624110,2.3606346,48.8566255,COS,Mo-Sa 10:00-20:00,https://www.cosstores.com/,
1842973552,2.3308934,48.8697597,DLM Paris,,https://sites.google.com/site/dlmparispretaporter/,Rue Daunou
1843076224,2.4851453,48.7981950,Elodie,,,
1871182833,2.3328941,48.8541024,Louis Vuitton,Mo-Su 10:30-19:30,http://eu.louisvuitton.com/eng-e1/point-of-sale/france/louis-vuitton-paris-saint-germain-des-pres,
1872840148,2.3610297,48.8831950,The Chennai Silks,,,
1907058066,2.1815443,48.8771416,,,,
1907058069,2.1817080,48.8773612,Mango Style,,,
1909738651,2.3312694,48.9047348,Sergent Major,,,
1909858173,2.3423067,48.8929281,L'annexe,,,
1928838860,2.3504064,48.8687246,Miss Papillon,Mo-Sa,http://www.misspapillon.fr,
1930542168,2.3426492,48.8498802,Celio,,,
1930542182,2.3421577,48.8490716,Desigual,,,
1930542188,2.3415752,48.8481136,Derby,,,
1930542190,2.3415095,48.8480242,Dylanium Le Cuir.,,,
1930542191,2.3417627,48.8484386,Edson,,,
1930542202,2.3414378,48.8479041,JP,,,
1930542203,2.3421949,48.8491383,Jules,Mo-Sa 10:00-19:30,,
1930542216,2.3430148,48.8504528,Naf Naf,Mo-Sa 10:00-19:30,,
1930542218,2.3432924,48.8464020,Nepalaya,,,
1930542220,2.3412951,48.8476529,New Shop,,,
1930542233,2.3427310,48.8499989,Six,,,
1930542236,2.3425903,48.8497743,Sud Express,,,
1930542238,2.3412654,48.8476006,Trop Bien !,,,
1930542244,2.3423453,48.8494019,United Colors of Benetton,,,
1930542332,2.3442105,48.8464154,,,,
1930556648,2.3430056,48.8503261,Pimkie,Mo-Sa 10:00-19:30,,
1933610142,2.2923953,48.7781777,Le Lièvre et La Tortue,,,
1940149207,2.3065383,48.9703891,Promod,,,
1940149708,2.3068416,48.9703758,Blue Azur,,,
1940220846,2.3075056,48.9710899,Naf Naf,,,
1959469360,2.4174037,48.9916314,,,,
1983073461,2.3856336,48.8470449,,,,
1983637458,2.3078245,48.8534183,Cyrillus,We-Sa 10:00-19:00  Mo 12:00-19:00,,
1986745610,2.2980063,48.8731872,Celio,,,
1987166805,2.2876705,48.8640369,Gap,,,
1996930703,2.3550984,48.8786841,Aux Sept Merveilles,,,Rue La Fayette
1999839286,2.3035128,48.8658184,Valentino,,,Avenue Montaigne
1999850308,2.3074433,48.8678583,Chanel,,,Avenue Montaigne
2011444790,2.4177399,48.8414051,,,,
